class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
down,0.46076321601867676,0.5655444860458374,-0.2518910765647888,0.9999984502792358,0.4688149392604828,0.5512042045593262,-0.25781089067459106,0.9999952912330627,0.473377525806427,0.5484148263931274,-0.2578265070915222,0.9999948143959045,0.47757869958877563,0.5447680354118347,-0.2579508423805237,0.999993622303009,0.4566693902015686,0.548979640007019,-0.26130232214927673,0.9999906420707703,0.45240649580955505,0.544524073600769,-0.26132312417030334,0.9999894499778748,0.44838064908981323,0.53920978307724,-0.2613326907157898,0.9999854564666748,0.4858466684818268,0.521744430065155,-0.23003986477851868,0.9999956488609314,0.43867507576942444,0.5146420001983643,-0.24488595128059387,0.9999921321868896,0.46523794531822205,0.5693223476409912,-0.23537464439868927,0.9999997615814209,0.4527115225791931,0.5673604607582092,-0.2398158311843872,0.999999463558197,0.5127385854721069,0.534847617149353,-0.17709597945213318,0.9999987483024597,0.3944539427757263,0.5349382758140564,-0.19495072960853577,0.9999709129333496,0.519267201423645,0.6698703765869141,-0.17515888810157776,0.998455822467804,0.38947802782058716,0.6706662774085999,-0.19620630145072937,0.9983727931976318,0.524895966053009,0.7889095544815063,-0.2109137773513794,0.9950988292694092,0.3879135549068451,0.8017090559005737,-0.214013010263443,0.9863003492355347,0.5296809077262878,0.820467472076416,-0.22437147796154022,0.9860114455223083,0.3778448700904846,0.8365099430084229,-0.22643259167671204,0.9660805463790894,0.5195683240890503,0.8178422451019287,-0.23425154387950897,0.987667977809906,0.38979101181030273,0.8374971151351929,-0.23524823784828186,0.9678499698638916,0.5156084299087524,0.8088378310203552,-0.21577732264995575,0.9854121208190918,0.3956814408302307,0.8276546001434326,-0.21797263622283936,0.9704675674438477,0.4756389558315277,0.5947648882865906,0.007682000286877155,0.9999940991401672,0.41668701171875,0.5942789316177368,-0.007880362682044506,0.9999850988388062,0.4962955117225647,0.7159577012062073,-0.14366135001182556,0.9286852478981018,0.4160688519477844,0.7081600427627563,-0.14375407993793488,0.9161190390586853,0.48737889528274536,0.8586515784263611,-0.02168450877070427,0.8945488333702087,0.4247003197669983,0.8799885511398315,-0.05198391154408455,0.9647860527038574,0.4781036376953125,0.8837618231773376,-0.012097083032131195,0.6802520751953125,0.4277675151824951,0.8973917365074158,-0.0452628917992115,0.8270300626754761,0.49512046575546265,0.9281216859817505,-0.07234789431095123,0.9175891280174255,0.4246214032173157,0.9464324116706848,-0.11534254252910614,0.9687166213989258
down,0.46053391695022583,0.5607956647872925,-0.24865253269672394,0.9999991655349731,0.46845167875289917,0.5455676913261414,-0.2544764578342438,0.9999974966049194,0.473120778799057,0.5426323413848877,-0.2544941306114197,0.9999972581863403,0.477456271648407,0.5387886166572571,-0.2546154856681824,0.9999967217445374,0.4564880430698395,0.5438683032989502,-0.2583998143672943,0.9999949336051941,0.4522995054721832,0.5399364233016968,-0.25842052698135376,0.9999942779541016,0.4482904374599457,0.5350654721260071,-0.2584274411201477,0.9999920725822449,0.4857567846775055,0.5165879726409912,-0.2265332043170929,0.9999977350234985,0.43823081254959106,0.5099724531173706,-0.24312803149223328,0.9999957084655762,0.4651942849159241,0.5648288130760193,-0.23210808634757996,0.9999997615814209,0.4525630474090576,0.5631974339485168,-0.23718996345996857,0.9999997615814209,0.512590765953064,0.531423807144165,-0.17490245401859283,0.9999991655349731,0.39448171854019165,0.5299649834632874,-0.19309207797050476,0.999974250793457,0.5192010402679443,0.6634765267372131,-0.17474402487277985,0.9988555908203125,0.3898146450519562,0.6631680130958557,-0.19740323722362518,0.9981170892715454,0.5246822834014893,0.7878639101982117,-0.21087431907653809,0.9962063431739807,0.38784515857696533,0.7975375652313232,-0.21669960021972656,0.9834077954292297,0.5291078686714172,0.8192170858383179,-0.22512662410736084,0.9889841675758362,0.37794360518455505,0.8323348760604858,-0.2297896444797516,0.9603734016418457,0.5194178819656372,0.8163527846336365,-0.2348216027021408,0.9902655482292175,0.3898755609989166,0.8337083458900452,-0.2383790910243988,0.9626709818840027,0.5154685378074646,0.8070676922798157,-0.21570341289043427,0.9882267117500305,0.3956090807914734,0.823193371295929,-0.22071611881256104,0.9660516381263733,0.47572487592697144,0.5939001441001892,0.00799643900245428,0.9999958872795105,0.41728225350379944,0.5918225049972534,-0.008183654397726059,0.999988853931427,0.49652767181396484,0.7125619053840637,-0.13202792406082153,0.9178546667098999,0.4161788523197174,0.7067227959632874,-0.1357480138540268,0.9115965962409973,0.4875287115573883,0.8573290705680847,-0.014524402096867561,0.8894158005714417,0.42441973090171814,0.880625307559967,-0.0499483123421669,0.9641203880310059,0.47815385460853577,0.8820469975471497,-0.005334060173481703,0.6865355968475342,0.4264906942844391,0.8993812799453735,-0.043904706835746765,0.8299685120582581,0.4952150881290436,0.9279566407203674,-0.06260441243648529,0.9165852069854736,0.42443448305130005,0.9477114081382751,-0.11227720975875854,0.9694722294807434
down,0.46349453926086426,0.5081326365470886,-0.2820954918861389,0.9999995231628418,0.47119957208633423,0.49201834201812744,-0.2879454493522644,0.9999984502792358,0.47568097710609436,0.48901066184043884,-0.2879583537578583,0.9999985694885254,0.47971111536026,0.48540568351745605,-0.288064569234848,0.9999982714653015,0.4586709141731262,0.4914703667163849,-0.29276999831199646,0.9999966621398926,0.4538159966468811,0.48748505115509033,-0.2927868962287903,0.9999963045120239,0.4491344392299652,0.4827321767807007,-0.29278916120529175,0.9999944567680359,0.48692330718040466,0.46129971742630005,-0.2528969943523407,0.9999986290931702,0.43782496452331543,0.4584885537624359,-0.2743282914161682,0.9999971389770508,0.46779727935791016,0.5127224326133728,-0.26231491565704346,0.9999997615814209,0.4550863802433014,0.5120537281036377,-0.26869815587997437,0.9999997615814209,0.5123461484909058,0.4900810718536377,-0.19090662896633148,0.9999992847442627,0.3905702829360962,0.4917964041233063,-0.2120988667011261,0.9999709725379944,0.5209069848060608,0.6230171918869019,-0.18656615912914276,0.9985900521278381,0.38756078481674194,0.6304203271865845,-0.2087755650281906,0.9974271059036255,0.5255176424980164,0.7621108889579773,-0.2288544923067093,0.9966886639595032,0.38259702920913696,0.7643842101097107,-0.2310209572315216,0.9809864163398743,0.5284770131111145,0.7934579849243164,-0.24343952536582947,0.9911684393882751,0.3761823773384094,0.8031333088874817,-0.242845818400383,0.9588361978530884,0.5201600790023804,0.792611837387085,-0.2536297142505646,0.9920454025268555,0.3858283758163452,0.8022416830062866,-0.2549399733543396,0.9611594080924988,0.5168323516845703,0.781981348991394,-0.23396508395671844,0.9904326796531677,0.38953715562820435,0.7919317483901978,-0.2362118512392044,0.9650253653526306,0.4743257462978363,0.56144118309021,0.010062607936561108,0.9999968409538269,0.41461998224258423,0.5639927387237549,-0.01020870916545391,0.9999901652336121,0.4957243800163269,0.6768363118171692,-0.140951007604599,0.8989548683166504,0.4154275953769684,0.6851570010185242,-0.15410254895687103,0.9049317836761475,0.4846482276916504,0.863552451133728,-0.0519397035241127,0.8987094163894653,0.42048707604408264,0.8800762891769409,-0.08050601929426193,0.9632923007011414,0.47428053617477417,0.8871171474456787,-0.046870067715644836,0.6997051239013672,0.42333078384399414,0.9003245830535889,-0.07684335112571716,0.8402536511421204,0.49651211500167847,0.934843122959137,-0.1199307069182396,0.9235756397247314,0.42560991644859314,0.9538382887840271,-0.1596730500459671,0.9691410660743713
up,0.4518917500972748,0.10925321280956268,-0.4776173233985901,0.9999976754188538,0.4573771357536316,0.0864262506365776,-0.45999160408973694,0.9999905824661255,0.46140822768211365,0.08649151027202606,-0.459970086812973,0.99998939037323,0.4644821286201477,0.08659645169973373,-0.4599476754665375,0.9999881982803345,0.4449446201324463,0.08515595644712448,-0.4629133641719818,0.9999901652336121,0.43989619612693787,0.08417162299156189,-0.4629887044429779,0.9999908208847046,0.43451690673828125,0.08301331847906113,-0.4630168378353119,0.9999910593032837,0.46945080161094666,0.09063366800546646,-0.32513362169265747,0.9999684691429138,0.426562637090683,0.08873946964740753,-0.34195417165756226,0.9999845027923584,0.45754870772361755,0.1294652372598648,-0.4250943064689636,0.9999970197677612,0.4428273141384125,0.12908761203289032,-0.43000417947769165,0.9999979734420776,0.5042335987091064,0.2208736687898636,-0.20666936039924622,0.9999882578849792,0.38676923513412476,0.22114306688308716,-0.23928678035736084,0.9999854564666748,0.5182340145111084,0.364886611700058,-0.13348206877708435,0.990176796913147,0.38422197103500366,0.3780522346496582,-0.18824395537376404,0.9942918419837952,0.5289627313613892,0.5042760372161865,-0.25589659810066223,0.9833364486694336,0.3828814625740051,0.5127530097961426,-0.2895949184894562,0.9848744869232178,0.5348005294799805,0.5429865717887878,-0.292980432510376,0.9607001543045044,0.3810589909553528,0.5551316738128662,-0.32777029275894165,0.9663759469985962,0.5290219187736511,0.5425132513046265,-0.3329157531261444,0.9644041657447815,0.38711291551589966,0.5527110695838928,-0.3627871870994568,0.9688162207603455,0.5248222351074219,0.5298892259597778,-0.27415353059768677,0.9578500986099243,0.38965827226638794,0.5381627678871155,-0.30465051531791687,0.9616186022758484,0.4818652272224426,0.4795902371406555,0.01329001598060131,0.9998511672019958,0.42089420557022095,0.4833081066608429,-0.013481296598911285,0.9997996687889099,0.4833291471004486,0.6902294754981995,0.041400548070669174,0.9927971363067627,0.4274659752845764,0.6936684846878052,0.01642712950706482,0.9927698969841003,0.4859752058982849,0.8590604066848755,0.31706732511520386,0.9901887774467468,0.4221862852573395,0.8643422722816467,0.2713436484336853,0.9882275462150574,0.47822004556655884,0.8764283061027527,0.3371610641479492,0.8943448066711426,0.4245882034301758,0.8789165019989014,0.2898338735103607,0.7957107424736023,0.49340295791625977,0.9357577562332153,0.1978270709514618,0.9862833619117737,0.427795946598053,0.9443534016609192,0.13805745542049408,0.9816122055053711
up,0.4519830346107483,0.10932788997888565,-0.4920883774757385,0.9999977946281433,0.4574994146823883,0.08644141256809235,-0.47466573119163513,0.9999908804893494,0.4615198075771332,0.08649774640798569,-0.4746433198451996,0.9999896287918091,0.46455565094947815,0.08659563958644867,-0.4746323227882385,0.9999884366989136,0.44505709409713745,0.08525825291872025,-0.4775599539279938,0.9999904036521912,0.44002681970596313,0.08442893624305725,-0.47763895988464355,0.9999910593032837,0.43461981415748596,0.08339571207761765,-0.47766685485839844,0.9999912977218628,0.4695117473602295,0.09087886661291122,-0.33828768134117126,0.9999690055847168,0.42662525177001953,0.08937301486730576,-0.3547382056713104,0.9999848008155823,0.45763880014419556,0.12954914569854736,-0.4387300908565521,0.999997079372406,0.442971408367157,0.1291486918926239,-0.4435730576515198,0.9999979734420776,0.5043215155601501,0.22138912975788116,-0.21676096320152283,0.9999884366989136,0.38696688413619995,0.2215479165315628,-0.24846705794334412,0.9999855160713196,0.5182661414146423,0.36493951082229614,-0.1431775987148285,0.990160346031189,0.38459405303001404,0.37814781069755554,-0.19610580801963806,0.994299054145813,0.5291022062301636,0.5044623613357544,-0.2644351124763489,0.9838302731513977,0.3835681974887848,0.5129188299179077,-0.2978813052177429,0.9849620461463928,0.5349604487419128,0.5433989763259888,-0.3020482659339905,0.9618013501167297,0.38176998496055603,0.5551526546478271,-0.33653250336647034,0.9665911197662354,0.5291889905929565,0.5429025292396545,-0.3423789143562317,0.9654110074043274,0.38784709572792053,0.5527603626251221,-0.3720455765724182,0.9689903855323792,0.5250297784805298,0.5301763415336609,-0.2828218638896942,0.9589783549308777,0.3903772830963135,0.5383239984512329,-0.3131377100944519,0.9618582129478455,0.4820803999900818,0.4796971082687378,0.013277044519782066,0.9998578429222107,0.42102450132369995,0.4835166037082672,-0.013468069955706596,0.9998087286949158,0.48340320587158203,0.6901986002922058,0.04065810889005661,0.9930095672607422,0.42752495408058167,0.6937162280082703,0.01895204745233059,0.992885172367096,0.4859856069087982,0.8583517074584961,0.32425162196159363,0.9903320074081421,0.4221828877925873,0.8640098571777344,0.28185373544692993,0.9883714318275452,0.47823968529701233,0.8755648136138916,0.34526923298835754,0.8948590159416199,0.42457491159439087,0.8785304427146912,0.3011193871498108,0.7967913150787354,0.4933968186378479,0.935676634311676,0.20455560088157654,0.9864756464958191,0.42779359221458435,0.9442933797836304,0.14832134544849396,0.9818795919418335
up,0.4532272219657898,0.10914508253335953,-0.4903563857078552,0.9999980330467224,0.45919665694236755,0.08637085556983948,-0.47248324751853943,0.9999918341636658,0.4626924991607666,0.08641495555639267,-0.47245392203330994,0.9999906420707703,0.4657793641090393,0.08640450984239578,-0.4724352955818176,0.99998939037323,0.44684457778930664,0.08532731235027313,-0.4765445590019226,0.9999914169311523,0.441905677318573,0.08463291823863983,-0.47662633657455444,0.9999922513961792,0.4365570545196533,0.08370108157396317,-0.47665590047836304,0.9999923706054688,0.46993404626846313,0.09117893874645233,-0.33400920033454895,0.9999711513519287,0.42773017287254333,0.08979350328445435,-0.35571545362472534,0.9999865293502808,0.4587670862674713,0.12932372093200684,-0.4361494481563568,0.9999973773956299,0.44457584619522095,0.1289052516222,-0.4424276351928711,0.9999980926513672,0.5043702721595764,0.22139593958854675,-0.20997266471385956,0.9999886155128479,0.3874358832836151,0.22175119817256927,-0.25078433752059937,0.9999857544898987,0.5185257196426392,0.36477288603782654,-0.13045725226402283,0.9893332719802856,0.38509106636047363,0.37816447019577026,-0.19944621622562408,0.9945261478424072,0.5299965143203735,0.5034953355789185,-0.24891266226768494,0.9837238788604736,0.3849739134311676,0.5133318901062012,-0.29884058237075806,0.9853641390800476,0.5359148979187012,0.5430728197097778,-0.2845896780490875,0.9616833925247192,0.38301828503608704,0.5548922419548035,-0.33694988489151,0.9671289920806885,0.5304871797561646,0.542566180229187,-0.3250606656074524,0.9654276371002197,0.38858407735824585,0.5529163479804993,-0.3722602427005768,0.9695333242416382,0.5264295935630798,0.5296290516853333,-0.2674266993999481,0.9593244194984436,0.39111843705177307,0.5388559699058533,-0.3139468729496002,0.9627358913421631,0.48259133100509644,0.4799019992351532,0.013843214139342308,0.9998672604560852,0.42184120416641235,0.483597993850708,-0.014046656899154186,0.9998185634613037,0.4840884208679199,0.6898483037948608,0.03502991050481796,0.993537187576294,0.4283190667629242,0.6927821040153503,0.011826450005173683,0.9930300116539001,0.4859038293361664,0.8564638495445251,0.32660382986068726,0.9906638264656067,0.42206016182899475,0.8629993796348572,0.28069978952407837,0.9886022806167603,0.47830286622047424,0.8730093836784363,0.3484872281551361,0.8940654397010803,0.4243413507938385,0.8780324459075928,0.30084970593452454,0.7966285943984985,0.4929782450199127,0.935042679309845,0.20938405394554138,0.98710697889328,0.42801254987716675,0.9442450404167175,0.14913541078567505,0.9826738834381104
up,0.45329174399375916,0.1090160682797432,-0.4965580403804779,0.9999980330467224,0.4593289792537689,0.08631717413663864,-0.47861623764038086,0.9999919533729553,0.4628216326236725,0.08635517954826355,-0.4785919785499573,0.9999907612800598,0.46596041321754456,0.08628826588392258,-0.47857919335365295,0.9999894499778748,0.4469563364982605,0.0853017196059227,-0.4823269844055176,0.9999914765357971,0.4420272409915924,0.08462860435247421,-0.4824100136756897,0.9999922513961792,0.43667522072792053,0.08370515704154968,-0.48244136571884155,0.9999924302101135,0.4701123833656311,0.09110884368419647,-0.33920368552207947,0.9999713897705078,0.4278414845466614,0.08978055417537689,-0.35951486229896545,0.9999865889549255,0.45882096886634827,0.12919849157333374,-0.44197455048561096,0.9999973773956299,0.44463759660720825,0.1288120001554489,-0.4478883743286133,0.9999980926513672,0.5044781565666199,0.2214372456073761,-0.21489660441875458,0.9999886155128479,0.38753992319107056,0.22170619666576385,-0.2527752220630646,0.9999856948852539,0.5187046527862549,0.36492928862571716,-0.13826677203178406,0.9892635941505432,0.3851207494735718,0.3781830966472626,-0.20055226981639862,0.9945101737976074,0.5301387310028076,0.5035572648048401,-0.26015132665634155,0.9836657643318176,0.3850265145301819,0.5134496688842773,-0.30144673585891724,0.9853577613830566,0.5360868573188782,0.5432102084159851,-0.29697248339653015,0.9615641832351685,0.38308340311050415,0.554908812046051,-0.33992329239845276,0.9670664668083191,0.5305718779563904,0.5426926016807556,-0.33771365880966187,0.965334951877594,0.38866186141967773,0.5529668927192688,-0.37555330991744995,0.9695001840591431,0.5264971852302551,0.5297130346298218,-0.2788366377353668,0.9592552781105042,0.3911917507648468,0.5389357805252075,-0.3167129158973694,0.9627251029014587,0.482602059841156,0.4799031913280487,0.013810498639941216,0.9998674988746643,0.4218612313270569,0.4835803210735321,-0.014013710431754589,0.9998183250427246,0.4841005802154541,0.6897435784339905,0.035029347985982895,0.9935262203216553,0.4283979535102844,0.6927112340927124,0.011969264596700668,0.992936909198761,0.4858299195766449,0.8560686707496643,0.32937175035476685,0.990547776222229,0.42202410101890564,0.8630236387252808,0.2842511534690857,0.9884588718414307,0.4783044457435608,0.8725788593292236,0.3515625596046448,0.8924411535263062,0.42430663108825684,0.8781262040138245,0.30462366342544556,0.7951367497444153,0.49263995885849,0.9348993301391602,0.21151022613048553,0.9870116114616394,0.4280357360839844,0.9443861842155457,0.15182377398014069,0.9825586080551147
down,0.4618057608604431,0.5663248300552368,-0.25137123465538025,0.9999980926513672,0.46953240036964417,0.5522024631500244,-0.25712233781814575,0.9999943375587463,0.47395771741867065,0.5493221879005432,-0.25713664293289185,0.9999936819076538,0.4780140519142151,0.5456187129020691,-0.2572627663612366,0.9999922513961792,0.4574674665927887,0.5505155324935913,-0.26071247458457947,0.9999887347221375,0.45317894220352173,0.5462266802787781,-0.26073402166366577,0.9999873638153076,0.4491066038608551,0.5408830642700195,-0.26074421405792236,0.9999825954437256,0.48595476150512695,0.5224036574363708,-0.22845664620399475,0.9999947547912598,0.43907180428504944,0.5161274671554565,-0.24379518628120422,0.9999905824661255,0.4661014676094055,0.5700324773788452,-0.23449906706809998,0.9999996423721313,0.4536992013454437,0.568564772605896,-0.23908631503582,0.9999993443489075,0.5128252506256104,0.5347158312797546,-0.17550776898860931,0.9999985098838806,0.3944593369960785,0.5358449816703796,-0.19356273114681244,0.9999696016311646,0.5192690491676331,0.6702722907066345,-0.1732294112443924,0.9983057975769043,0.3893110454082489,0.6709787845611572,-0.1946459859609604,0.9984834790229797,0.5249365568161011,0.7883213758468628,-0.20988306403160095,0.9947702884674072,0.3879215717315674,0.8021820187568665,-0.2129364311695099,0.9875501394271851,0.5300322771072388,0.820404589176178,-0.22338421642780304,0.9851259589195251,0.3778335452079773,0.8370200991630554,-0.2252831906080246,0.9686484932899475,0.5197585225105286,0.8179103136062622,-0.233315110206604,0.9869168996810913,0.38979554176330566,0.8378674983978271,-0.23411396145820618,0.9702652096748352,0.5157254934310913,0.8089011311531067,-0.2147979438304901,0.9846398830413818,0.39572960138320923,0.8281316161155701,-0.2169126272201538,0.9725353717803955,0.4757419228553772,0.5947383642196655,0.007654418237507343,0.9999933242797852,0.4166497588157654,0.5943536758422852,-0.007853248156607151,0.9999834299087524,0.4963033199310303,0.7160046696662903,-0.1445494294166565,0.9325732588768005,0.41610607504844666,0.7083873748779297,-0.14287187159061432,0.9182270765304565,0.48734229803085327,0.8588507175445557,-0.021528590470552444,0.8960016369819641,0.4247256815433502,0.8799781799316406,-0.05192868784070015,0.9652947187423706,0.4780793786048889,0.883905291557312,-0.011781694367527962,0.6815052032470703,0.42787736654281616,0.8972980976104736,-0.04532191529870033,0.8274901509284973,0.49514228105545044,0.9281375408172607,-0.07138674706220627,0.9178153276443481,0.42461293935775757,0.9462103843688965,-0.11513445526361465,0.9685368537902832
down,0.46076321601867676,0.5655444860458374,-0.2518910765647888,0.9999984502792358,0.4688149392604828,0.5512042045593262,-0.25781089067459106,0.9999952912330627,0.473377525806427,0.5484148263931274,-0.2578265070915222,0.9999948143959045,0.47757869958877563,0.5447680354118347,-0.2579508423805237,0.999993622303009,0.4566693902015686,0.548979640007019,-0.26130232214927673,0.9999906420707703,0.45240649580955505,0.544524073600769,-0.26132312417030334,0.9999894499778748,0.44838064908981323,0.53920978307724,-0.2613326907157898,0.9999854564666748,0.4858466684818268,0.521744430065155,-0.23003986477851868,0.9999956488609314,0.43867507576942444,0.5146420001983643,-0.24488595128059387,0.9999921321868896,0.46523794531822205,0.5693223476409912,-0.23537464439868927,0.9999997615814209,0.4527115225791931,0.5673604607582092,-0.2398158311843872,0.999999463558197,0.5127385854721069,0.534847617149353,-0.17709597945213318,0.9999987483024597,0.3944539427757263,0.5349382758140564,-0.19495072960853577,0.9999709129333496,0.519267201423645,0.6698703765869141,-0.17515888810157776,0.998455822467804,0.38947802782058716,0.6706662774085999,-0.19620630145072937,0.9983727931976318,0.524895966053009,0.7889095544815063,-0.2109137773513794,0.9950988292694092,0.3879135549068451,0.8017090559005737,-0.214013010263443,0.9863003492355347,0.5296809077262878,0.820467472076416,-0.22437147796154022,0.9860114455223083,0.3778448700904846,0.8365099430084229,-0.22643259167671204,0.9660805463790894,0.5195683240890503,0.8178422451019287,-0.23425154387950897,0.987667977809906,0.38979101181030273,0.8374971151351929,-0.23524823784828186,0.9678499698638916,0.5156084299087524,0.8088378310203552,-0.21577732264995575,0.9854121208190918,0.3956814408302307,0.8276546001434326,-0.21797263622283936,0.9704675674438477,0.4756389558315277,0.5947648882865906,0.007682000286877155,0.9999940991401672,0.41668701171875,0.5942789316177368,-0.007880362682044506,0.9999850988388062,0.4962955117225647,0.7159577012062073,-0.14366135001182556,0.9286852478981018,0.4160688519477844,0.7081600427627563,-0.14375407993793488,0.9161190390586853,0.48737889528274536,0.8586515784263611,-0.02168450877070427,0.8945488333702087,0.4247003197669983,0.8799885511398315,-0.05198391154408455,0.9647860527038574,0.4781036376953125,0.8837618231773376,-0.012097083032131195,0.6802520751953125,0.4277675151824951,0.8973917365074158,-0.0452628917992115,0.8270300626754761,0.49512046575546265,0.9281216859817505,-0.07234789431095123,0.9175891280174255,0.4246214032173157,0.9464324116706848,-0.11534254252910614,0.9687166213989258
down,0.4603632986545563,0.5637652277946472,-0.24913863837718964,0.9999986886978149,0.4683898985385895,0.5492492914199829,-0.25496405363082886,0.9999960660934448,0.4730184078216553,0.5464997887611389,-0.2549816966056824,0.9999957084655762,0.47732311487197876,0.5428236722946167,-0.25510677695274353,0.9999947547912598,0.45632535219192505,0.5466980338096619,-0.2584914565086365,0.9999921917915344,0.4521213173866272,0.5422773361206055,-0.2585122585296631,0.9999911785125732,0.44813624024391174,0.5371445417404175,-0.2585202753543854,0.9999878406524658,0.48576489090919495,0.520110547542572,-0.2275269478559494,0.9999964237213135,0.43847495317459106,0.5130195021629333,-0.24255160987377167,0.9999933838844299,0.4649074077606201,0.5674182176589966,-0.23284153640270233,0.9999997615814209,0.4524211883544922,0.5654008388519287,-0.2373352348804474,0.9999995827674866,0.5126399397850037,0.5344643592834473,-0.17567679286003113,0.9999988675117493,0.3944651484489441,0.5332096219062805,-0.19393226504325867,0.999972403049469,0.5192720293998718,0.667900025844574,-0.17483924329280853,0.99860680103302,0.3895755410194397,0.6694145202636719,-0.19661769270896912,0.9982979893684387,0.5248228907585144,0.7889919877052307,-0.2101093828678131,0.9954625964164734,0.3879178762435913,0.8010300397872925,-0.21497270464897156,0.9853337407112122,0.529585063457489,0.8204237818717957,-0.22365427017211914,0.9869809150695801,0.3778727352619171,0.8357754349708557,-0.22753246128559113,0.9641269445419312,0.5194944143295288,0.8175725936889648,-0.23345467448234558,0.9885044693946838,0.38979262113571167,0.8369072079658508,-0.2363073080778122,0.9660345911979675,0.5155259370803833,0.8084879517555237,-0.21492469310760498,0.9863057732582092,0.395631343126297,0.8267319798469543,-0.21890608966350555,0.968928337097168,0.47562283277511597,0.5947986841201782,0.007727336138486862,0.9999947547912598,0.4168170392513275,0.5938215255737305,-0.007924034260213375,0.999986469745636,0.4962949752807617,0.715711236000061,-0.14013464748859406,0.9253714680671692,0.4161101281642914,0.7066001892089844,-0.14219126105308533,0.9146343469619751,0.487518310546875,0.8579074144363403,-0.0194564089179039,0.8930785059928894,0.4246634840965271,0.8799154758453369,-0.05199792981147766,0.9646565914154053,0.4783361852169037,0.8828868269920349,-0.009981108829379082,0.6812292337417603,0.42769479751586914,0.8972628116607666,-0.04536351189017296,0.8287054896354675,0.4951487183570862,0.9279872179031372,-0.06880535185337067,0.9173033833503723,0.4246090352535248,0.9466352462768555,-0.11475281417369843,0.9690874218940735
